startPoints.lat	startPoints.lon	endPoints.lat	endPoints.lon
47.660037	-122.313165	47.653413	-122.355541
47.66029	-122.335277	47.626238	-122.312588
47.616756	-122.314262	47.682454	-122.37257
47.652548	-122.344012	47.598554	-122.326387
47.642364	-122.31543	47.614097	-122.327235
47.604016	-122.337819	47.630864	-122.320212
47.58636	-122.311269	47.614106	-122.308406
47.662472	-122.332554	47.619506	-122.355452
47.636458	-122.356946	47.620075	-122.330427
47.614869	-122.350138	47.620384	-122.338482
47.614514	-122.334708	47.622159	-122.360371
47.598554	-122.326387	47.597181	-122.297487
47.620074	-122.330427	47.615252	-122.319222
47.580029	-122.306596	47.692149	-122.304532
47.67426	-122.406377	47.67397	-122.297218
47.579421	-122.304346	47.587139	-122.334216
47.614097	-122.327233	47.639596	-122.362501
47.677815	-122.322687	47.639499	-122.372579
47.617928	-122.323448	47.624443	-122.311684
47.619507	-122.355452	47.607676	-122.340498
47.615252	-122.319222	47.620196	-122.331725
47.653413	-122.355541	47.613287	-122.322109
47.658263	-122.342304	47.691317	-122.32104
47.670583	-122.354401	47.653851	-122.356604
47.668542	-122.331435	47.605395	-122.338457
47.639498	-122.372579	47.620128	-122.358099
47.661268	-122.283183	47.625757	-122.337734
47.594669	-122.309318	47.615806	-122.318159
47.687064	-122.310015	47.688331	-122.307888
47.624443	-122.311684	47.609686	-122.316797
47.65385	-122.356604	47.665046	-122.374872
47.699891	-122.323127	47.625859	-122.341001
47.605394	-122.338456	47.618297	-122.340117
47.620127	-122.358099	47.623559	-122.337151
47.626238	-122.312588	47.625115	-122.326221
47.656028	-122.340888	47.620056	-122.344998
47.624081	-122.35934	47.619308	-122.312761
47.615254	-122.322481	47.621943	-122.298436
47.669308	-122.318911	47.612189	-122.344542
47.651037	-122.351308	47.611803	-122.3168
47.666264	-122.338509	47.619914	-122.321934
47.662743	-122.335169	47.669558	-122.335839
47.619307	-122.312761	47.648708	-122.321228
47.637731	-122.371223	47.61444	-122.334604
47.651824	-122.356327	47.615245	-122.323855
47.692372	-122.290046	47.690944	-122.291403
47.6346	-122.279549	47.614443	-122.325527
47.619914	-122.321936	47.644493	-122.325412
47.61219	-122.344544	47.639404	-122.324694
47.625448	-122.355074	47.674459	-122.406375
47.633505	-122.357917	47.630822	-122.361828
47.608994	-122.329449	47.579996	-122.305144
47.611803	-122.3168	47.69765	-122.317083
47.614441	-122.334605	47.625052	-122.31676
47.630822	-122.361828	47.630484	-122.362431
47.621943	-122.298435	47.611324	-122.328461
47.614443	-122.325527	47.658832	-122.320794
47.659721	-122.324054	47.614378	-122.324478
47.666154	-122.382851	47.626266	-122.348432
47.611323	-122.32846	47.611607	-122.330201
47.612925	-122.304497	47.609145	-122.308899
47.614379	-122.324478	47.623815	-122.307301
47.686611	-122.381123	47.667155	-122.375473
47.674674	-122.325452	47.668517	-122.286521
47.623816	-122.307301	47.622661	-122.310025
47.611611	-122.3302	47.704253	-122.350782
47.625531	-122.323585	47.612797	-122.333891
47.630484	-122.362431	47.649863	-122.345553
47.657724	-122.35288	47.649794	-122.345095
47.612797	-122.333891	47.643875	-122.372207
47.649863	-122.345552	47.617705	-122.351892
47.626266	-122.348432	47.579983	-122.304147
47.680444	-122.325017	47.669712	-122.322864
47.667155	-122.375471	47.684973	-122.387182
47.617704	-122.351889	47.626266	-122.348327
47.649794	-122.345095	47.624796	-122.311316
47.626266	-122.348328	47.617924	-122.352268
47.627447	-122.325011	47.595414	-122.309891
47.647397	-122.322119	47.617112	-122.320904
47.613287	-122.322109	47.670575	-122.354401
47.676953	-122.297359	47.701017	-122.323139
47.639596	-122.362501	47.598351	-122.32726
47.688226	-122.322269	47.584112	-122.301654
47.622165	-122.313648	47.58419	-122.301652
47.614106	-122.308406	47.661268	-122.283184
47.621842	-122.312667	47.622183	-122.361565
47.622183	-122.361567	47.614381	-122.342919
47.60719	-122.305842	47.614256	-122.338169
47.669365	-122.329077	47.62177	-122.339771
47.682454	-122.37257	47.668689	-122.378083
47.597181	-122.297487	47.603043	-122.336274
47.705044	-122.334807	47.615457	-122.304888
47.614256	-122.33817	47.616717	-122.344197
47.668524	-122.331423	47.668543	-122.331436
47.630866	-122.320212	47.639154	-122.328338
47.615457	-122.304888	47.640889	-122.284751
47.705272	-122.307217	47.623202	-122.334645
47.658263	-122.342304	47.691317	-122.32104
47.685502	-122.342944	47.62766	-122.340983
47.639498	-122.372579	47.620128	-122.358099
47.63915	-122.328338	47.639579	-122.356593
47.668542	-122.331435	47.605395	-122.338457
47.670583	-122.354401	47.653851	-122.356604
47.661268	-122.283183	47.625757	-122.337734
47.624443	-122.311684	47.609686	-122.316797
47.594669	-122.309318	47.615806	-122.318159
47.65385	-122.356604	47.665046	-122.374872
47.699891	-122.323127	47.625859	-122.341001
47.605394	-122.338456	47.618297	-122.340117
47.656028	-122.340888	47.620056	-122.344998
47.620127	-122.358099	47.623559	-122.337151
47.687064	-122.310015	47.688331	-122.307888
47.626238	-122.312588	47.625115	-122.326221
47.615806	-122.318159	47.673801	-122.307376
47.587419	-122.289315	47.617427	-122.35416
47.69097	-122.322981	47.598546	-122.332908
47.618297	-122.340117	47.639879	-122.366298
47.683732	-122.368329	47.692394	-122.353236
47.66354	-122.301749	47.65516	-122.313295
47.656816	-122.341188	47.654701	-122.371549
47.655161	-122.313295	47.667566	-122.313053
47.603043	-122.336274	47.609675	-122.329067
47.639879	-122.366298	47.620675	-122.339776
47.625115	-122.326218	47.622437	-122.31889
47.614931	-122.343213	47.650936	-122.355609
47.587141	-122.334216	47.648466	-122.375758
47.617399	-122.354197	47.600875	-122.327338
47.621769	-122.339771	47.659329	-122.350026
47.579809	-122.334927	47.579808	-122.334847
47.598351	-122.327261	47.698413	-122.295149
47.659312	-122.350026	47.619709	-122.339249
47.600875	-122.327337	47.665409	-122.38201
47.627659	-122.340983	47.668449	-122.382141
47.620055	-122.344998	47.621388	-122.314685
47.667567	-122.313053	47.647403	-122.322119
47.614381	-122.342917	47.645628	-122.323768
47.673801	-122.307375	47.615146	-122.341549
47.623559	-122.337151	47.623211	-122.339312
47.639579	-122.356593	47.614461	-122.334634
47.615162	-122.344163	47.667874	-122.369831
47.692394	-122.353235	47.619124	-122.344992
47.648466	-122.375751	47.680444	-122.32502
47.701829	-122.31771	47.639079	-122.366294
47.598548	-122.332908	47.604836	-122.316785
47.698413	-122.295147	47.619731	-122.347146
47.66845	-122.382141	47.679541	-122.364058
47.623211	-122.339311	47.656818	-122.341396
47.609686	-122.316797	47.649868	-122.351619
47.619731	-122.347148	47.597007	-122.326405
47.67397	-122.297216	47.619704	-122.329718
47.691317	-122.321039	47.658842	-122.342273
47.656818	-122.341394	47.625707	-122.358487
47.679541	-122.364055	47.669299	-122.373665
